bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
Blue Ride Bank,2020-H2,1,Flexible Finance  Flex ,0,,0,,0,,0,
Blue Ride Bank,2021-H1,1,Flexible Finance  Flex ,0,,0,,0,,0,
Blue Ride Bank,2021-H2,1,Flexible Finance  Flex ,0,,0,,0,,0,
Blue Ride Bank,2022-H1,1,Flexible Finance  Flex ,0,,0,,0,,0,
Blue Ridge Bank,2021-H1,3,Moves Financial; Stoovo; Tribevest,1,Moves Financial,0,,0,,0,
Blue Ridge Bank,2021-H2,5,Accrue Savings; Invoice2go; Letter; Moves Financial; Mos,5,Accrue Savings; Invoice2go; Letter; Moves Financial; Mos,1,Letter,0,,0,
Blue Ridge Bank,2022-H1,14,Accrue Savings; Ampla; Fundomate; Hearth; Highbeam; Invoice2go; Moves Financial; Novel; Outgo; Stake Rent; Stoovo; Vergo; Mos; Wethos,13,Accrue Savings; Fundomate; Hearth; Highbeam; Invoice2go; Moves Financial; Novel; Outgo; Stake Rent; Vergo; Ampla; Mos; Stoovo,1,Ampla,0,,1,Ampla
Blue Ridge Bank,2022-H2,20,Accrue Savings; Ampla; Baselane; Bridge; Briq; Crowded; Fundomate; Highbeam; Letter; Loaner Finance; Maza; Moves Financial; Ruby Money; ScanPay; Stake Rent; Stoovo; Globalfy; Levro; Mos; Outgo,19,Accrue Savings; Baselane; Bridge; Briq; Crowded; Fundomate; Highbeam; Letter; Moves Financial; Ruby Money; ScanPay; Stake Rent; Ampla; Globalfy; Levro; Maza; Mos; Outgo; Stoovo,2,Stake Rent; Ampla,0,,1,Ampla
Blue Ridge Bank,2023-H1,22,Accrue Savings; Ampla; Bridge; Briq; Flexible Finance  Flex ; Forma; Fundomate; Globalfy; Highbeam; Invoice2go; Letter; Maza; Moves Financial; Novel; Outgo; Ruby Money; Stake Rent; Stoovo; Vergo; Hearth; Levro; Baselane,19,Accrue Savings; Bridge; Briq; Forma; Fundomate; Highbeam; Letter; Moves Financial; Novel; Outgo; Ruby Money; Stake Rent; Vergo; Ampla; Globalfy; Invoice2go; Levro; Maza; Stoovo,1,Stake Rent,0,,1,Ampla
Blue Ridge Bank,2023-H2,15,Crowded; Flexible Finance  Flex ; Hearth; Invoice2go; Levro; Maza; Outgo; Retirable; ScanPay; Stake Rent; Tribevest; TruckSmarter; Wingspan; Ampla; Globalfy,13,Crowded; Hearth; Levro; Outgo; Retirable; ScanPay; Stake Rent; Tribevest; TruckSmarter; Wingspan; Ampla; Globalfy; Maza,0,,0,,1,ScanPay
Blue Ridge Bank,2024-H1,21,Benepass; Bridge; Briq; Crowded; Forma; Invoice2go; Levro; Maza; Moves Financial; Nav; Retirable; Ruby Money; ScanPay; Stake Rent; Stoovo; Tribevest; AngelList; Globalfy; Hearth; Mos; Wethos,16,Bridge; Briq; Forma; Invoice2go; Levro; Moves Financial; Nav; Retirable; Ruby Money; ScanPay; Stake Rent; Tribevest; Benepass; Globalfy; Maza; Wethos,1,Stake Rent,0,,1,ScanPay
Blue Ridge Bank,2024-H2,8,Forma; Invoice2go; Retirable; ScanPay; Stoovo; Ampla; Mos; Wethos,5,Forma; Invoice2go; Retirable; Stoovo; Wethos,1,Ampla,0,,1,ScanPay
Blue Ridge Bank,2025-H1,3,Bridge; Ruby Money; ScanPay,2,Bridge; Ruby Money,0,,0,,1,ScanPay
Blue Ridge Bank,2025-H2,1,Bridge,1,Bridge,0,,0,,0,
Blue Ridge Bank OR Lead Bank,2024-H1,1,Flexible Finance  Flex ,0,,0,,0,,0,
Blue Ridge Bank and Thread Bank,2024-H1,2,Ampla; Levro,1,Ampla,0,,0,,0,
"Blue Ridge Bank and Thread Bank; Thread Bank, a bank chartered under the laws of the State of Tennessee, a member of the Federal Deposit Insurance Corporation",2024-H1,1,Ampla,0,,0,,0,,0,
"Blue Ridge Bank and TransPecos Banks, SSB",2024-H1,1,Crowded,1,Crowded,0,,0,,0,
